"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"machine gun kelly","5K+","May 4, 2025 at 6:00:00 PM UTC-6","May 5, 2025 at 6:10:00 AM UTC-6","machine gun kelly","https://trends.google.com/trends/explore?q=machine%20gun%20kelly&geo=US&hl=en-US"
"michigan football schedule","2K+","May 5, 2025 at 7:20:00 AM UTC-6","May 5, 2025 at 12:00:00 PM UTC-6","michigan football schedule","https://trends.google.com/trends/explore?q=michigan%20football%20schedule&geo=US&hl=en-US"
"coco jones","5K+","May 5, 2025 at 4:10:00 PM UTC-6","May 5, 2025 at 5:30:00 PM UTC-6","coco jones,coco","https://trends.google.com/trends/explore?q=coco%20jones&geo=US&hl=en-US"
"karl rove","2K+","May 4, 2025 at 8:40:00 PM UTC-6","May 5, 2025 at 8:50:00 AM UTC-6","karl rove","https://trends.google.com/trends/explore?q=karl%20rove&geo=US&hl=en-US"
"romario shepherd","50K+","May 3, 2025 at 9:30:00 AM UTC-6","May 3, 2025 at 1:50:00 PM UTC-6","romario shepherd,royal challengers bengaluru vs chennai super kings match scorecard,csk vs rcb,royal challengers vs super kings,rcb,jacob bethell,ipl,shaik rasheed,lungi ngidi,fastest 50 in ipl,royal challengers bengaluru vs chennai super kings timeline,yash dayal,csk,ipl live score,khaleel ahmed,ms dhoni,ipl score,phil salt","https://trends.google.com/trends/explore?q=romario%20shepherd&geo=US&hl=en-US"
"stephen a smith","10K+","May 5, 2025 at 7:50:00 PM UTC-6","May 5, 2025 at 9:20:00 PM UTC-6","stephen a smith","https://trends.google.com/trends/explore?q=stephen%20a%20smith&geo=US&hl=en-US"
"djurgården vs chelsea","20K+","May 1, 2025 at 12:10:00 PM UTC-6","May 2, 2025 at 5:10:00 AM UTC-6","djurgården vs chelsea","https://trends.google.com/trends/explore?q=djurg%C3%A5rden%20vs%20chelsea&geo=US&hl=en-US"
"fortnite","50K+","May 2, 2025 at 12:00:00 AM UTC-6","May 2, 2025 at 10:00:00 AM UTC-6","fortnite,new fortnite season,fortnite server status,fortnite new season,fortnite servers,fortnite status,fortnite battle pass,epic games fortnite star wars,fortnite downtime,is fortnite down,when will fortnite be back up,fortnite update,when will fortnite servers be back up,fortnite chapter 6 season 3 star wars,epic games fortnite disney,fortnite chapter 6 season 3,how long is fortnite downtime,fortnite servers not responding,fortnite down,are fortnite servers down,fortnite servers down,fortnite stormtrooper skin","https://trends.google.com/trends/explore?q=fortnite&geo=US&hl=en-US"
"al-nassr vs kawasaki","50K+","April 30, 2025 at 9:50:00 AM UTC-6","April 30, 2025 at 6:10:00 PM UTC-6","al-nassr vs kawasaki,al nassr,al-nassr - kawasaki frontale,afc champions league,al nassr vs,alnassr","https://trends.google.com/trends/explore?q=al-nassr%20vs%20kawasaki&geo=US&hl=en-US"
"tom thibodeau","2K+","May 5, 2025 at 5:40:00 PM UTC-6","May 5, 2025 at 8:50:00 PM UTC-6","tom thibodeau,knicks coach","https://trends.google.com/trends/explore?q=tom%20thibodeau&geo=US&hl=en-US"
"maria sakkari","1K+","May 6, 2025 at 2:50:00 AM UTC-6","May 6, 2025 at 5:10:00 AM UTC-6","maria sakkari","https://trends.google.com/trends/explore?q=maria%20sakkari&geo=US&hl=en-US"
"star wars original trilogy","2K+","May 5, 2025 at 1:10:00 AM UTC-6","May 5, 2025 at 8:50:00 AM UTC-6","star wars original trilogy","https://trends.google.com/trends/explore?q=star%20wars%20original%20trilogy&geo=US&hl=en-US"
"f1 miami schedule","20K+","May 4, 2025 at 6:10:00 AM UTC-6","May 4, 2025 at 2:00:00 PM UTC-6","f1 miami schedule,f1 tv,weather miami,f1 driver standings,gabriel bortoleto,miami grand prix,miami international autodrome,where to watch f1,oliver bearman,f1 schedule 2025,f1 academy","https://trends.google.com/trends/explore?q=f1%20miami%20schedule&geo=US&hl=en-US"
"kamala harris speech","20K+","April 30, 2025 at 3:00:00 PM UTC-6","May 1, 2025 at 12:10:00 PM UTC-6","kamala harris speech,kamala harris speech today,san diego zoo,kamala speech today,elephants at zoo earthquake","https://trends.google.com/trends/explore?q=kamala%20harris%20speech&geo=US&hl=en-US"
"billie lourd","2K+","May 4, 2025 at 4:50:00 PM UTC-6","May 5, 2025 at 8:40:00 AM UTC-6","billie lourd","https://trends.google.com/trends/explore?q=billie%20lourd&geo=US&hl=en-US"
"wordle may 6","5K+","May 6, 2025 at 5:30:00 AM UTC-6","May 6, 2025 at 6:50:00 AM UTC-6","wordle may 6,wordle — the new york times,nyt wordle,wordle may 5,today's wordle answer,wordle may 1","https://trends.google.com/trends/explore?q=wordle%20may%206&geo=US&hl=en-US"
"pat mcafee","2K+","May 5, 2025 at 8:00:00 PM UTC-6","May 5, 2025 at 9:10:00 PM UTC-6","pat mcafee,gunther,gunther wwe,freddie prinze jr,match","https://trends.google.com/trends/explore?q=pat%20mcafee&geo=US&hl=en-US"
"teofimo lopez fight","20K+","May 2, 2025 at 3:20:00 PM UTC-6","May 3, 2025 at 3:50:00 AM UTC-6","teofimo lopez fight,teofimo vs barboza,lopez vs barboza,arnold barboza jr,barboza jr,teofimo lopez vs arnold barboza jr,teofimo,teofimo lopez vs barboza,arnold barboza,teo vs barboza,teofimo lopez record,teofimo lopez next fight","https://trends.google.com/trends/explore?q=teofimo%20lopez%20fight&geo=US&hl=en-US"
"severe thunderstorm warning","100K+","May 2, 2025 at 3:50:00 PM UTC-6","May 2, 2025 at 9:00:00 PM UTC-6","severe thunderstorm warning,pittsburgh weather","https://trends.google.com/trends/explore?q=severe%20thunderstorm%20warning&geo=US&hl=en-US"
"tottenham vs bodø/glimt","20K+","May 1, 2025 at 12:10:00 PM UTC-6","May 1, 2025 at 8:30:00 PM UTC-6","tottenham vs bodø/glimt,tottenham - bodø/glimt,bodo glimt,spurs,spurs fc","https://trends.google.com/trends/explore?q=tottenham%20vs%20bod%C3%B8%2Fglimt&geo=US&hl=en-US"
"tesla model y performance upgrade","2K+","May 5, 2025 at 1:20:00 PM UTC-6","May 5, 2025 at 4:10:00 PM UTC-6","tesla model y performance upgrade","https://trends.google.com/trends/explore?q=tesla%20model%20y%20performance%20upgrade&geo=US&hl=en-US"
"celh stock","200+","May 6, 2025 at 5:10:00 AM UTC-6","May 6, 2025 at 6:40:00 AM UTC-6","celh stock","https://trends.google.com/trends/explore?q=celh%20stock&geo=US&hl=en-US"
"airplane crash","20K+","May 3, 2025 at 5:00:00 PM UTC-6","May 3, 2025 at 8:10:00 PM UTC-6","airplane crash,airplane crash wood ranch simi valley,plane crash simi valley,simi valley plane crash,plane crash,simi valley,plane crash today","https://trends.google.com/trends/explore?q=airplane%20crash&geo=US&hl=en-US"
"barcelona","200K+","April 30, 2025 at 1:20:00 PM UTC-6","April 30, 2025 at 3:50:00 PM UTC-6","barcelona,fc barcelona,barcelona hoy,dónde mirar futbol club barcelona contra inter milan,ferran torres,barca hoy,barca fc,barcelona hoy en vivo,partido del barcelona,barcelona fc,cómo va el barcelona,iñigo martínez,cómo quedó el barcelona,barsa,barsa hoy","https://trends.google.com/trends/explore?q=barcelona&geo=US&hl=en-US"
"teoscar hernandez","2K+","May 5, 2025 at 5:40:00 PM UTC-6","May 5, 2025 at 8:20:00 PM UTC-6","teoscar hernandez","https://trends.google.com/trends/explore?q=teoscar%20hernandez&geo=US&hl=en-US"
"ariana grande","2K+","May 5, 2025 at 6:40:00 PM UTC-6","May 6, 2025 at 12:00:00 AM UTC-6","ariana grande,jennifer garner","https://trends.google.com/trends/explore?q=ariana%20grande&geo=US&hl=en-US"
"sevilla - leganés","10K+","May 4, 2025 at 7:30:00 AM UTC-6","May 4, 2025 at 12:30:00 PM UTC-6","sevilla - leganés,sevilla vs leganes","https://trends.google.com/trends/explore?q=sevilla%20-%20legan%C3%A9s&geo=US&hl=en-US"
"matthew knies","2K+","May 5, 2025 at 8:30:00 PM UTC-6","May 5, 2025 at 10:00:00 PM UTC-6","matthew knies,knies","https://trends.google.com/trends/explore?q=matthew%20knies&geo=US&hl=en-US"
"harry potter day","10K+","May 2, 2025 at 4:50:00 AM UTC-6","May 2, 2025 at 10:10:00 PM UTC-6","harry potter day","https://trends.google.com/trends/explore?q=harry%20potter%20day&geo=US&hl=en-US"
"la galaxy vs sporting kc","10K+","May 4, 2025 at 4:10:00 PM UTC-6","May 4, 2025 at 9:00:00 PM UTC-6","la galaxy vs sporting kc,la galaxy,sporting kc","https://trends.google.com/trends/explore?q=la%20galaxy%20vs%20sporting%20kc&geo=US&hl=en-US"
"mindy kaling","2K+","May 5, 2025 at 5:30:00 PM UTC-6","May 5, 2025 at 9:40:00 PM UTC-6","mindy kaling","https://trends.google.com/trends/explore?q=mindy%20kaling&geo=US&hl=en-US"
"judge foxworth roberts","5K+","May 4, 2025 at 8:10:00 PM UTC-6","May 5, 2025 at 4:00:00 AM UTC-6","judge foxworth roberts,judge tiffany foxworth","https://trends.google.com/trends/explore?q=judge%20foxworth%20roberts&geo=US&hl=en-US"
"max pacioretty","20K+","May 5, 2025 at 6:50:00 PM UTC-6","May 5, 2025 at 8:10:00 PM UTC-6","max pacioretty,toronto maple leafs,maple leafs vs senators,leafs,ottawa senators,leafs game,brady tkachuk,auston matthews,senators,leafs vs senators,craig berube","https://trends.google.com/trends/explore?q=max%20pacioretty&geo=US&hl=en-US"
"all american","1K+","May 5, 2025 at 10:30:00 PM UTC-6","May 6, 2025 at 4:10:00 AM UTC-6","all american","https://trends.google.com/trends/explore?q=all%20american&geo=US&hl=en-US"
"kylie jenner","10K+","April 30, 2025 at 9:50:00 PM UTC-6","May 2, 2025 at 6:30:00 AM UTC-6","kylie jenner","https://trends.google.com/trends/explore?q=kylie%20jenner&geo=US&hl=en-US"
"blade tidwell","5K+","May 4, 2025 at 5:20:00 AM UTC-6","May 4, 2025 at 2:20:00 PM UTC-6","blade tidwell,tidwell mets","https://trends.google.com/trends/explore?q=blade%20tidwell&geo=US&hl=en-US"
"liga mx femenil","10K+","May 4, 2025 at 5:00:00 PM UTC-6","May 4, 2025 at 9:30:00 PM UTC-6","liga mx femenil,américa - guadalajara,america vs chivas femenil,america femenil,chivas vs america femenil,guadalajara - américa,chivas femenil,chivas vs america","https://trends.google.com/trends/explore?q=liga%20mx%20femenil&geo=US&hl=en-US"
"ben roethlisberger sister","10K+","April 29, 2025 at 6:10:00 PM UTC-6","May 2, 2025 at 6:30:00 AM UTC-6","ben roethlisberger sister","https://trends.google.com/trends/explore?q=ben%20roethlisberger%20sister&geo=US&hl=en-US"
"serena williams husband","200+","May 6, 2025 at 5:30:00 AM UTC-6","May 6, 2025 at 7:00:00 AM UTC-6","serena williams husband","https://trends.google.com/trends/explore?q=serena%20williams%20husband&geo=US&hl=en-US"
"rick adelman","2K+","May 5, 2025 at 10:40:00 PM UTC-6","May 6, 2025 at 12:00:00 AM UTC-6","rick adelman,mike malone,denver nuggets coach","https://trends.google.com/trends/explore?q=rick%20adelman&geo=US&hl=en-US"
"christian braun","10K+","May 3, 2025 at 5:50:00 PM UTC-6","May 3, 2025 at 10:20:00 PM UTC-6","christian braun","https://trends.google.com/trends/explore?q=christian%20braun&geo=US&hl=en-US"
"braves game today","20K+","May 3, 2025 at 5:10:00 PM UTC-6","May 3, 2025 at 9:50:00 PM UTC-6","braves game today,dodgers game today,dodger game today,dodgers game,shohei ohtani,dodgers braves,rōki sasaki,ohtani,roki sasaki","https://trends.google.com/trends/explore?q=braves%20game%20today&geo=US&hl=en-US"
"nicole kidman","5K+","May 5, 2025 at 6:10:00 PM UTC-6","May 5, 2025 at 7:20:00 PM UTC-6","nicole kidman,nicole kidman met gala","https://trends.google.com/trends/explore?q=nicole%20kidman&geo=US&hl=en-US"
"meet the press","5K+","May 4, 2025 at 7:00:00 AM UTC-6","May 5, 2025 at 4:40:00 AM UTC-6","meet the press,kristen welker","https://trends.google.com/trends/explore?q=meet%20the%20press&geo=US&hl=en-US"
"jj redick","50K+","April 30, 2025 at 8:10:00 PM UTC-6","May 1, 2025 at 7:10:00 AM UTC-6","jj redick,la lakers,los angeles lakers,lakers gm","https://trends.google.com/trends/explore?q=jj%20redick&geo=US&hl=en-US"
"earthquake utah","20K+","May 1, 2025 at 12:10:00 AM UTC-6","May 1, 2025 at 12:40:00 PM UTC-6","earthquake utah,utah earthquake,earthquake utah today,utah earthquake today,earthquake,provo earthquake,earthquake today,earthquake provo,earthquake in utah,ksl news,earthquake heber,earthquake salt lake city,utah","https://trends.google.com/trends/explore?q=earthquake%20utah&geo=US&hl=en-US"
"mi vs rr","20K+","May 1, 2025 at 7:40:00 AM UTC-6","May 1, 2025 at 10:10:00 PM UTC-6","mi vs rr,mumbai indians vs rajasthan royals match scorecard,rr vs mi,ryan rickelton,karn sharma","https://trends.google.com/trends/explore?q=mi%20vs%20rr&geo=US&hl=en-US"
"kent state massacre","5K+","May 4, 2025 at 6:20:00 AM UTC-6","May 4, 2025 at 8:40:00 PM UTC-6","kent state massacre","https://trends.google.com/trends/explore?q=kent%20state%20massacre&geo=US&hl=en-US"
"flash flood warning","50K+","April 29, 2025 at 8:30:00 PM UTC-6","April 30, 2025 at 1:20:00 PM UTC-6","flash flood warning","https://trends.google.com/trends/explore?q=flash%20flood%20warning&geo=US&hl=en-US"
"jackson holliday","5K+","May 4, 2025 at 11:10:00 AM UTC-6","May 4, 2025 at 8:30:00 PM UTC-6","jackson holliday","https://trends.google.com/trends/explore?q=jackson%20holliday&geo=US&hl=en-US"
"ac milan","5K+","May 5, 2025 at 2:30:00 PM UTC-6","May 5, 2025 at 3:30:00 PM UTC-6","ac milan,milan","https://trends.google.com/trends/explore?q=ac%20milan&geo=US&hl=en-US"
"israel fire","20K+","April 30, 2025 at 4:20:00 PM UTC-6","May 2, 2025 at 6:40:00 AM UTC-6","israel fire,israel fires,fires in israel,israel wildfires cause,times of israel","https://trends.google.com/trends/explore?q=israel%20fire&geo=US&hl=en-US"
"basketball zero codes","20K+","May 2, 2025 at 11:00:00 AM UTC-6","May 3, 2025 at 12:40:00 AM UTC-6","basketball zero codes","https://trends.google.com/trends/explore?q=basketball%20zero%20codes&geo=US&hl=en-US"
"john foster american idol","5K+","May 5, 2025 at 6:30:00 PM UTC-6","May 5, 2025 at 7:50:00 PM UTC-6","john foster american idol,george strait,john foster,american idol.com","https://trends.google.com/trends/explore?q=john%20foster%20american%20idol&geo=US&hl=en-US"
"canelo age","10K+","May 3, 2025 at 7:30:00 PM UTC-6","May 4, 2025 at 2:20:00 AM UTC-6","canelo age,canelo wife","https://trends.google.com/trends/explore?q=canelo%20age&geo=US&hl=en-US"
"mayday","10K+","May 1, 2025 at 12:50:00 AM UTC-6","May 1, 2025 at 9:50:00 PM UTC-6","mayday","https://trends.google.com/trends/explore?q=mayday&geo=US&hl=en-US"
"cream of the crop nyt","20K+","April 29, 2025 at 8:10:00 PM UTC-6","April 30, 2025 at 8:50:00 PM UTC-6","cream of the crop nyt,new spin on an old song nyt,nyt crossword clues,item in indiana jones satchel nyt,hobbes in calvin and hobbes nyt,cream of the crop nyt crossword","https://trends.google.com/trends/explore?q=cream%20of%20the%20crop%20nyt&geo=US&hl=en-US"
"jeff ulbrich salary","20K+","April 30, 2025 at 8:50:00 AM UTC-6","May 1, 2025 at 6:00:00 AM UTC-6","jeff ulbrich salary,jeff ulbrich net worth","https://trends.google.com/trends/explore?q=jeff%20ulbrich%20salary&geo=US&hl=en-US"
"sam hauser","2K+","May 5, 2025 at 6:40:00 PM UTC-6","May 5, 2025 at 9:10:00 PM UTC-6","sam hauser","https://trends.google.com/trends/explore?q=sam%20hauser&geo=US&hl=en-US"
"jobs report","20K+","May 2, 2025 at 5:10:00 AM UTC-6","May 2, 2025 at 4:00:00 PM UTC-6","jobs report,amazon earnings,jobs report today,government jobs","https://trends.google.com/trends/explore?q=jobs%20report&geo=US&hl=en-US"
"lulu sun","200+","May 6, 2025 at 5:00:00 AM UTC-6","May 6, 2025 at 6:20:00 AM UTC-6","lulu sun","https://trends.google.com/trends/explore?q=lulu%20sun&geo=US&hl=en-US"
"sengun","20K+","May 4, 2025 at 7:20:00 PM UTC-6","May 4, 2025 at 9:50:00 PM UTC-6","sengun,alperen sengun,sengun rockets,sengun stats","https://trends.google.com/trends/explore?q=sengun&geo=US&hl=en-US"
"d wayne lukas","10K+","May 3, 2025 at 11:40:00 AM UTC-6","May 3, 2025 at 6:10:00 PM UTC-6","d wayne lukas,american promise,wayne lukas,d. wayne lukas,what number is american promise in the kentucky derby","https://trends.google.com/trends/explore?q=d%20wayne%20lukas&geo=US&hl=en-US"
"criminal defense attorney","500+","May 6, 2025 at 5:50:00 AM UTC-6","May 6, 2025 at 6:50:00 AM UTC-6","criminal defense attorney,criminal defense lawyer","https://trends.google.com/trends/explore?q=criminal%20defense%20attorney&geo=US&hl=en-US"
"60 minutes tonight","10K+","May 4, 2025 at 4:40:00 PM UTC-6","May 4, 2025 at 11:10:00 PM UTC-6","60 minutes tonight,marc elias,60 minutes","https://trends.google.com/trends/explore?q=60%20minutes%20tonight&geo=US&hl=en-US"
"cheech and chong","10K+","May 2, 2025 at 8:10:00 PM UTC-6","May 3, 2025 at 10:40:00 PM UTC-6","cheech and chong","https://trends.google.com/trends/explore?q=cheech%20and%20chong&geo=US&hl=en-US"
"international firefighters day","5K+","May 4, 2025 at 5:50:00 AM UTC-6","May 4, 2025 at 6:20:00 PM UTC-6","international firefighters day","https://trends.google.com/trends/explore?q=international%20firefighters%20day&geo=US&hl=en-US"
"freddie freeman","5K+","May 3, 2025 at 9:00:00 PM UTC-6","May 4, 2025 at 8:20:00 PM UTC-6","freddie freeman","https://trends.google.com/trends/explore?q=freddie%20freeman&geo=US&hl=en-US"
"steve kerr","20K+","May 4, 2025 at 7:20:00 PM UTC-6","May 4, 2025 at 10:30:00 PM UTC-6","steve kerr,jonathan kuminga,houston rockets coach,kuminga,richard jefferson","https://trends.google.com/trends/explore?q=steve%20kerr&geo=US&hl=en-US"
"paris fc","5K+","May 2, 2025 at 2:30:00 PM UTC-6","May 4, 2025 at 12:20:00 AM UTC-6","paris fc","https://trends.google.com/trends/explore?q=paris%20fc&geo=US&hl=en-US"
"alexis von yates","10K+","April 30, 2025 at 4:50:00 AM UTC-6","May 2, 2025 at 6:50:00 AM UTC-6","alexis von yates","https://trends.google.com/trends/explore?q=alexis%20von%20yates&geo=US&hl=en-US"
"sandman","10K+","May 3, 2025 at 8:00:00 AM UTC-6","May 3, 2025 at 6:40:00 PM UTC-6","sandman","https://trends.google.com/trends/explore?q=sandman&geo=US&hl=en-US"
"holly madison","5K+","May 5, 2025 at 2:40:00 AM UTC-6","May 5, 2025 at 7:10:00 AM UTC-6","holly madison,hugh hefner","https://trends.google.com/trends/explore?q=holly%20madison&geo=US&hl=en-US"
"kim tae ri","500+","May 5, 2025 at 10:40:00 PM UTC-6","May 6, 2025 at 3:40:00 AM UTC-6","kim tae ri,baeksang awards 2025","https://trends.google.com/trends/explore?q=kim%20tae%20ri&geo=US&hl=en-US"
"bill ackman","200+","May 6, 2025 at 5:10:00 AM UTC-6","May 6, 2025 at 6:20:00 AM UTC-6","bill ackman","https://trends.google.com/trends/explore?q=bill%20ackman&geo=US&hl=en-US"
"dia del niño 2025","20K+","April 29, 2025 at 10:50:00 PM UTC-6","May 1, 2025 at 1:10:00 AM UTC-6","dia del niño 2025","https://trends.google.com/trends/explore?q=dia%20del%20ni%C3%B1o%202025&geo=US&hl=en-US"
"severe thunderstorm warning","200K+","April 29, 2025 at 2:40:00 PM UTC-6","April 29, 2025 at 6:30:00 PM UTC-6","severe thunderstorm warning,syracuse weather","https://trends.google.com/trends/explore?q=severe%20thunderstorm%20warning&geo=US&hl=en-US"
"shawne merriman","1K+","May 5, 2025 at 7:40:00 PM UTC-6","May 6, 2025 at 12:00:00 AM UTC-6","shawne merriman","https://trends.google.com/trends/explore?q=shawne%20merriman&geo=US&hl=en-US"
"star wars episode 1","5K+","May 4, 2025 at 9:30:00 AM UTC-6","May 5, 2025 at 12:10:00 AM UTC-6","star wars episode 1","https://trends.google.com/trends/explore?q=star%20wars%20episode%201&geo=US&hl=en-US"
"julian strawther","1K+","May 5, 2025 at 8:30:00 PM UTC-6","May 6, 2025 at 12:10:00 AM UTC-6","julian strawther","https://trends.google.com/trends/explore?q=julian%20strawther&geo=US&hl=en-US"
"yoda","5K+","May 4, 2025 at 5:50:00 AM UTC-6","May 4, 2025 at 7:30:00 PM UTC-6","yoda","https://trends.google.com/trends/explore?q=yoda&geo=US&hl=en-US"
"cameron smotherman","10K+","May 3, 2025 at 4:40:00 PM UTC-6","May 3, 2025 at 10:20:00 PM UTC-6","cameron smotherman,serhiy sidey,smotherman ufc","https://trends.google.com/trends/explore?q=cameron%20smotherman&geo=US&hl=en-US"
"jokic","20K+","May 3, 2025 at 6:20:00 PM UTC-6","May 3, 2025 at 9:00:00 PM UTC-6","jokic,nikola jokic,nikola jokić,nikola jokic stats,jokic stats,michael malone,braun nuggets","https://trends.google.com/trends/explore?q=jokic&geo=US&hl=en-US"
"final jeopardy","2K+","May 5, 2025 at 8:00:00 PM UTC-6","May 5, 2025 at 9:50:00 PM UTC-6","final jeopardy,roni on jeopardy,roni jeopardy","https://trends.google.com/trends/explore?q=final%20jeopardy&geo=US&hl=en-US"
"final gambit horse","10K+","May 3, 2025 at 7:20:00 AM UTC-6","May 3, 2025 at 6:30:00 PM UTC-6","final gambit horse,final gambit kentucky derby","https://trends.google.com/trends/explore?q=final%20gambit%20horse&geo=US&hl=en-US"
"maxi kleber","20K+","April 30, 2025 at 6:20:00 PM UTC-6","May 1, 2025 at 8:40:00 AM UTC-6","maxi kleber","https://trends.google.com/trends/explore?q=maxi%20kleber&geo=US&hl=en-US"
"badou jack","20K+","May 3, 2025 at 5:40:00 PM UTC-6","May 3, 2025 at 10:30:00 PM UTC-6","badou jack,noel mikaelian,mikaelian,jack vs mikaelian,badou jack vs noel mikaelian,cruiserweight,mikaelian boxer,jack vs mikaelian prediction,cruiserweight boxing,mikaelian vs jack","https://trends.google.com/trends/explore?q=badou%20jack&geo=US&hl=en-US"
"michael cole","2K+","May 5, 2025 at 7:50:00 PM UTC-6","May 5, 2025 at 9:10:00 PM UTC-6","michael cole","https://trends.google.com/trends/explore?q=michael%20cole&geo=US&hl=en-US"
"black widow","5K+","May 3, 2025 at 4:20:00 PM UTC-6","May 4, 2025 at 1:50:00 PM UTC-6","black widow","https://trends.google.com/trends/explore?q=black%20widow&geo=US&hl=en-US"
"buffalo bandits","5K+","May 4, 2025 at 7:30:00 PM UTC-6","May 5, 2025 at 6:30:00 AM UTC-6","buffalo bandits,buffalo bandits score","https://trends.google.com/trends/explore?q=buffalo%20bandits&geo=US&hl=en-US"
"devils vs hurricanes","50K+","April 29, 2025 at 5:10:00 PM UTC-6","April 30, 2025 at 6:40:00 AM UTC-6","devils vs hurricanes,devils,nj devils,new jersey devils,canes game,devils score,devils game,jack hughes,jackson blake,jacob markstrom,hurricanes game,sebastian aho","https://trends.google.com/trends/explore?q=devils%20vs%20hurricanes&geo=US&hl=en-US"
"gretchen whitmer","20K+","April 29, 2025 at 2:50:00 PM UTC-6","April 30, 2025 at 9:50:00 AM UTC-6","gretchen whitmer,whitmer,selfridge air national guard base,selfridge air force base,f15 ex eagle ii,f-15ex eagle ii,f-15ex,f15ex","https://trends.google.com/trends/explore?q=gretchen%20whitmer&geo=US&hl=en-US"
"lizzo met gala","2K+","May 5, 2025 at 6:20:00 PM UTC-6","May 6, 2025 at 5:50:00 AM UTC-6","lizzo met gala,lizzo,lizzo met gala 2025","https://trends.google.com/trends/explore?q=lizzo%20met%20gala&geo=US&hl=en-US"
"school students nyt","5K+","May 3, 2025 at 9:30:00 PM UTC-6","May 4, 2025 at 12:20:00 PM UTC-6","school students nyt","https://trends.google.com/trends/explore?q=school%20students%20nyt&geo=US&hl=en-US"
"cbs sports","1K+","May 5, 2025 at 10:10:00 PM UTC-6","May 5, 2025 at 11:30:00 PM UTC-6","cbs sports","https://trends.google.com/trends/explore?q=cbs%20sports&geo=US&hl=en-US"
"flying pig marathon","5K+","May 4, 2025 at 3:10:00 AM UTC-6","May 4, 2025 at 11:40:00 AM UTC-6","flying pig marathon,flying pig marathon route,flying pig marathon 2025,flying pig 2025,flying pig results","https://trends.google.com/trends/explore?q=flying%20pig%20marathon&geo=US&hl=en-US"
"avs game tonight","20K+","May 3, 2025 at 5:40:00 PM UTC-6","May 3, 2025 at 10:20:00 PM UTC-6","avs game tonight,avs game,avs,stars,avs score,stars game tonight,nathan mackinnon,avalanche game tonight,stars score,avs game 7,avalanche game 7,dallas stars tickets,dallas stars game tonight,colorado avalanche games,dallas stars roster","https://trends.google.com/trends/explore?q=avs%20game%20tonight&geo=US&hl=en-US"
"josh king american idol","1K+","May 5, 2025 at 6:50:00 PM UTC-6","May 6, 2025 at 5:50:00 AM UTC-6","josh king american idol","https://trends.google.com/trends/explore?q=josh%20king%20american%20idol&geo=US&hl=en-US"
"fsu baseball","10K+","May 2, 2025 at 6:20:00 PM UTC-6","May 4, 2025 at 5:00:00 PM UTC-6","fsu baseball,clemson baseball,sec baseball scores","https://trends.google.com/trends/explore?q=fsu%20baseball&geo=US&hl=en-US"
"ddog stock","200+","May 6, 2025 at 5:50:00 AM UTC-6","May 6, 2025 at 7:00:00 AM UTC-6","ddog stock","https://trends.google.com/trends/explore?q=ddog%20stock&geo=US&hl=en-US"
"kristine barnett","20K+","April 29, 2025 at 11:20:00 PM UTC-6","May 2, 2025 at 2:10:00 AM UTC-6","kristine barnett,good american family cast","https://trends.google.com/trends/explore?q=kristine%20barnett&geo=US&hl=en-US"
"hal puthoff","10K+","May 1, 2025 at 11:10:00 AM UTC-6","May 2, 2025 at 7:40:00 AM UTC-6","hal puthoff","https://trends.google.com/trends/explore?q=hal%20puthoff&geo=US&hl=en-US"
"aj smith-shawver","2K+","May 5, 2025 at 6:50:00 PM UTC-6","May 5, 2025 at 8:50:00 PM UTC-6","aj smith-shawver","https://trends.google.com/trends/explore?q=aj%20smith-shawver&geo=US&hl=en-US"
"freddie freeman","5K+","May 5, 2025 at 5:40:00 PM UTC-6","May 5, 2025 at 9:00:00 PM UTC-6","freddie freeman,shohei ohtani,sandy alcantara,dodgers score,dodgers schedule,dodgers standings","https://trends.google.com/trends/explore?q=freddie%20freeman&geo=US&hl=en-US"
"social security benefits","10K+","May 1, 2025 at 9:30:00 PM UTC-6","May 2, 2025 at 10:30:00 PM UTC-6","social security benefits","https://trends.google.com/trends/explore?q=social%20security%20benefits&geo=US&hl=en-US"
"auston matthews","2K+","May 5, 2025 at 6:20:00 PM UTC-6","May 5, 2025 at 9:40:00 PM UTC-6","auston matthews","https://trends.google.com/trends/explore?q=auston%20matthews&geo=US&hl=en-US"
"apple earnings","50K+","May 1, 2025 at 1:30:00 PM UTC-6","May 1, 2025 at 7:20:00 PM UTC-6","apple earnings,aapl stock,aapl,apple stock,apple earnings report,aapl earnings,apple,apple earnings call,apple earnings estimates,aapl stock price","https://trends.google.com/trends/explore?q=apple%20earnings&geo=US&hl=en-US"
"nba playoff bracket","50K+","April 30, 2025 at 10:50:00 PM UTC-6","May 1, 2025 at 9:40:00 PM UTC-6","nba playoff bracket,playoff bracket nba,nba playoff bracket 2025,rockets score,nba playoff standings,knicks next game,nyknicks,nba bracket playoffs","https://trends.google.com/trends/explore?q=nba%20playoff%20bracket&geo=US&hl=en-US"
"mikey williams","20K+","April 29, 2025 at 4:30:00 PM UTC-6","May 1, 2025 at 12:50:00 AM UTC-6","mikey williams,sacramento state basketball,mike bibby,sacramento state","https://trends.google.com/trends/explore?q=mikey%20williams&geo=US&hl=en-US"
